"","new_subject","task","car","mean_off_duration","sum_long_off_glance","total_off_time","frequency_off_glance","task_time","percentage_long_off_glance","frequency_off_glance_per_minute"
"1707",6036,"nav_entry_1","Corolla",0.7375,0,5.9,8,51.7,0,9.28433268858801
"1708",6036,"nav_entry_2","Corolla",0.753571428571429,1,21.1,28,107.52,3.57142857142857,15.625
"1709",6036,"radiom_4","Corolla",0.99875,0,15.98,16,24.5,0,39.1836734693878
"1710",6036,"radiom_6","Corolla",1.26076923076923,2,32.78,26,46.7,7.69230769230769,33.4047109207709
"1711",6040,"nav_cancel_1","Corolla",0.605714285714286,0,4.24,7,19.7,0,21.3197969543147
"1712",6040,"nav_cancel_2","Corolla",1.19333333333333,0,3.58,3,15.1,0,11.9205298013245
"1713",6040,"nav_entry_1","Corolla",0.96125,0,11.535,12,46.695,0,15.4192097654995
"1714",6040,"nav_entry_2","Corolla",0.900909090909091,0,9.91,11,46.5,0,14.1935483870968
"1715",6040,"radiom_4","Corolla",1.14055555555556,0,10.265,9,15.3,0,35.2941176470588
"1716",6040,"radiom_6","Corolla",1.046875,0,8.375,8,12.1,0,39.6694214876033
"1717",6041,"nav_cancel_1","Corolla",0.7,0,1.4,2,16.3,0,7.36196319018405
"1718",6041,"nav_entry_1","Corolla",0.706,0,3.53,5,57.5,0,5.21739130434783
"1719",6041,"nav_entry_2","Corolla",1.07333333333333,0,3.22,3,58.68,0,3.06748466257669
"1720",6041,"radiom_4","Corolla",0.627272727272727,0,6.9,11,14.9,0,44.2953020134228
"1721",6041,"radiom_6","Corolla",0.788333333333333,0,9.46,12,16.7,0,43.1137724550898
"1722",6043,"nav_cancel_1","Corolla",0.2475,0,0.99,4,13.53,0,17.7383592017738
"1723",6043,"nav_cancel_2","Corolla",0.4725,0,1.89,4,14.09,0,17.0333569907736
"1724",6043,"nav_entry_1","Corolla",0.595714285714286,0,16.68,28,99.02,0,16.9662694405171
"1725",6043,"nav_entry_2","Corolla",0.647058823529412,0,11,17,57.26,0,17.8134823611596
"1726",6043,"radiom_4","Corolla",1.16444444444444,0,10.48,9,14.92,0,36.1930294906166
"1727",6043,"radiom_6","Corolla",0.768888888888889,0,6.92,9,12.3,0,43.9024390243902
"1728",6044,"nav_cancel_1","Corolla",0.64,0,0.64,1,14.3,0,4.1958041958042
"1729",6044,"nav_cancel_2","Corolla",0.555,0,1.11,2,11.89,0,10.0925147182506
"1730",6044,"nav_entry_1","Corolla",1.245,0,4.98,4,49.3,0,4.86815415821501
"1731",6044,"nav_entry_2","Corolla",0.717142857142857,0,5.02,7,45.7,0,9.19037199124726
"1732",6044,"radiom_4","Corolla",1.395,0,9.765,7,14.495,0,28.9755087961366
"1733",6044,"radiom_6","Corolla",1.1925,0,11.925,10,16.91,0,35.4819633353046
"1734",6046,"nav_cancel_1","Corolla",0.555,0,4.44,8,15.11,0,31.7670416942422
"1735",6046,"nav_cancel_2","Corolla",0.544,0,2.72,5,12.9,0,23.2558139534884
"1736",6046,"nav_entry_1","Corolla",0.528461538461538,0,6.87,13,47.59,0,16.3899978987182
"1737",6046,"nav_entry_2","Corolla",0.663529411764706,0,11.28,17,62.495,0,16.3213057044564
"1738",6046,"radiom_4","Corolla",0.853863636363636,0,18.785,22,35.51,0,37.1726274288933
"1739",6046,"radiom_6","Corolla",0.914166666666667,0,10.97,12,18.69,0,38.5232744783307
"1740",6047,"nav_cancel_1","Corolla",0.755,0,1.51,2,14.495,0,8.27871679889617
"1741",6047,"nav_cancel_2","Corolla",0.65,0,1.95,3,14.895,0,12.0845921450151
"1742",6047,"nav_entry_1","Corolla",0.745,0,20.86,28,93.5,0,17.9679144385027
"1743",6047,"nav_entry_2","Corolla",0.653636363636364,0,7.19,11,46.69,0,14.135789248233
"1744",6047,"radiom_4","Corolla",0.885416666666667,0,10.625,12,20.695,0,34.7910123218169
"1745",6047,"radiom_6","Corolla",1.19125,1,4.765,4,9.905,25,24.2301867743564
"1746",6049,"nav_cancel_1","Corolla",0.485,0,0.97,2,18.91,0,6.34584875727128
"1747",6049,"nav_cancel_2","Corolla",0.745,0,4.47,6,24.09,0,14.9439601494396
"1748",6049,"nav_entry_1","Corolla",0.737142857142857,0,10.32,14,81.1,0,10.3575832305795
"1749",6049,"nav_entry_2","Corolla",1.03772727272727,3,22.83,22,126.1,13.6363636363636,10.4678826328311
"1750",6049,"radiom_4","Corolla",1.033,0,10.33,10,14.9,0,40.2684563758389
"1751",6049,"radiom_6","Corolla",1.52444444444444,2,13.72,9,17.92,22.2222222222222,30.1339285714286
"1752",6050,"nav_cancel_1","Corolla",0.56,0,2.24,4,15.305,0,15.6811499509964
"1753",6050,"nav_cancel_2","Corolla",0.485,0,2.91,6,16.7,0,21.5568862275449
"1754",6050,"nav_entry_1","Corolla",0.538333333333333,0,9.69,18,45.3,0,23.841059602649
"1755",6050,"nav_entry_2","Corolla",0.6724,0,16.81,25,56.31,0,26.638252530634
"1756",6050,"radiom_4","Corolla",1.123,0,11.23,10,16.91,0,35.4819633353046
"1757",6050,"radiom_6","Corolla",0.852777777777778,0,7.675,9,13.895,0,38.8629003238575
"1758",6051,"nav_cancel_1","Corolla",0.69,0,0.69,1,14.3,0,4.1958041958042
"1759",6051,"nav_cancel_2","Corolla",0.546666666666667,0,1.64,3,15.5,0,11.6129032258065
"1760",6051,"nav_entry_1","Corolla",0.728333333333333,0,2.185,3,46.895,0,3.83836229875253
"1761",6051,"nav_entry_2","Corolla",0.795,0,1.59,2,47.32,0,2.53592561284869
"1762",6051,"radiom_4","Corolla",0.925,0,7.4,8,13.7,0,35.036496350365
"1763",6051,"radiom_6","Corolla",0.93875,0,7.51,8,15.7,0,30.5732484076433
"1764",6052,"nav_cancel_1","Corolla",0.5,0,2,4,15.1,0,15.8940397350993
"1765",6052,"nav_cancel_2","Corolla",0.535833333333333,0,6.43,12,21.3,0,33.8028169014084
"1766",6052,"nav_entry_1","Corolla",0.4745,0,9.49,20,48.9,0,24.5398773006135
